検査日,2018/12/10
開始時刻,8:13:25,終了時刻,9:37:00
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],1076.0
検査開始位置[mm],139.7,検査終了位置[mm],1215.7
列数,4
周長[mm],450.0,2逓倍,0
検査距離[m],4872.8
照明設定,No.1,ON ,65,No.2,OFF,0,No.3,ON ,28
検査レベル,点比較,色差,15,サイズ[mmsq.],1.30
,面比較,色差,22,サイズ[mmsq.],1.30
,スジ検出,色差,40,サイズ[mmsq.],2.60
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,見当誤差検出設定 変更
欠点検出数,394
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
181,1,658.2,1458.1, 3.5,スジ欠点,-,,
182,2,380.9,1458.5, 4.4,スジ欠点,-,,
183,1,756.5,1458.9, 4.8,スジ欠点,-,,
184,5,391.6,1459.3, 5.7,スジ欠点,-,,
185,3,615.5,1459.9,16.7,スジ欠点,-,,
186,5,370.2,1460.3,19.4,スジ欠点,-,,
187,2,615.5,1460.8, 8.4,スジ欠点,-,,
188,3,391.6,1461.8, 3.5,スジ欠点,-,,
189,1,615.5,1462.5, 5.3,スジ欠点,-,,
190,1,615.5,1463.2, 3.5,スジ欠点,-,,
191,2,604.9,1463.6, 4.0,スジ欠点,-,,
192,1,391.6,1464.2, 3.5,スジ欠点,-,,
193,1,391.6,1464.4, 4.4,スジ欠点,-,,
194,1,380.9,1465.8, 4.8,スジ欠点,-,,
195,1,391.6,1466.5, 5.3,スジ欠点,-,,
196,1,380.9,1466.9, 4.8,スジ欠点,-,,
197,1,604.9,1468.9, 4.4,スジ欠点,-,,
198,3,391.6,1469.1, 4.0,スジ欠点,-,,
199,1,380.9,1470.6, 4.4,スジ欠点,-,,
200,2,380.9,1471.6,16.3,スジ欠点,-,,
201,2,370.2,1472.2,10.6,スジ欠点,-,,
202,2,636.9,1472.8, 4.0,スジ欠点,-,,
203,3,380.9,1473.2, 7.5,スジ欠点,-,,
204,3,487.6,1473.6, 1.5,中欠点,-,,
205,3,380.9,1474.6, 9.7,スジ欠点,-,,
206,1,380.9,1475.0, 3.5,スジ欠点,-,,
207,1,380.9,1476.8, 6.2,スジ欠点,-,,
208,2,380.9,1477.3, 3.5,スジ欠点,-,,
